word1;word2;weight
АПОЛЛОН;СОЮЗ;0.16
АРБАТ;МОСКВА;0.9677
АРБАТ;ПЛОЩАДЬ;0.6129
АРБАТ;ПРОСПЕКТ;0.5403
АРБАТ;СТОЛИЦА;0.3629
АРБАТ;ЦЕНТР;0.2339
АРБАТ;БУЛЬВАР;0.1855
АРКТИКА;ПИНГВИНЫ;0.8967
АРКТИКА;МЕДВЕДЬ;0.7833
АРКТИКА;ПОЛЮС;0.6667
АРКТИКА;СЕВЕР;0.5333
АРКТИКА;АЙСБЕРГ;0.46
АРТ;ИСКУССТВО;1.0
АРТ;ДИЗАЙН;0.6087
АРТ;РИСОВАНИЕ;0.5109
АРТ;ТВОРЧЕСТВО;0.3913
АРТ;СТУДИЯ;0.25
АРТ;ОБЪЕКТ;0.1522
АТЛАНТИКА;СЕВЕР;0.4022
АТЛАНТИКА;МАТЕРИК;0.3043
АТЛАНТИКА;АМЕРИКА;0.2935
АТЛАНТИКА;ОСТРОВ;0.1793
АФГАНИСТАН;СОЛДАТЫ;0.5944
АФГАНИСТАН;АЗИЯ;0.3147
АФГАНИСТАН;АФГАНЦЫ;0.2273
АФГАНИСТАН;ИСЛАМ;0.2098
АФРИКА;НЕГРЫ;0.8532
АФРИКА;ПУСТЫНЯ;0.8257
АФРИКА;ПАЛЬМЫ;0.2844
АФРИКА;ЖИВОТНЫЕ;0.1835
БМВ;МАРКА;0.7183
БМВ;ГЕРМАНИЯ;0.662
БМВ;МЕРСЕДЕС;0.3662
БМВ;АВТО;0.338
БМВ;РУЛЬ;0.2535
БМВ;ФИРМА;0.2535
БМВ;ТАЧКА;0.2394
БМВ;ЗАВОД;0.169
БТР;ТАНК;1.0
БТР;БРОНЯ;0.5361
БТР;БРОНЕТРАНСПОРТЁР;0.3608
БТР;ТРАК;0.3299
БТР;СОЛДАТЫ;0.299
БТР;ГУСЕНИЦЫ;0.2887
БАБА-ЯГА;СТУПА;0.8727
БАБА-ЯГА;МЕТЛА;0.8727
БАБА-ЯГА;ИЗБУШКА;0.8182
БАБА-ЯГА;КОЩЕЙ;0.6727
БАБА-ЯГА;НОЖКИ;0.5364
БАБА-ЯГА;ЛЕШИЙ;0.4545
БАБА-ЯГА;СТАРУХА;0.4182
БАБА-ЯГА;КУРЬИ;0.2727
БАБА-ЯГА;ПЕРСОНАЖ;0.2364
БАБА-ЯГА;ВЕДЬМА;0.1636
БАЛАНДА;ПОХЛЁБКА;0.7813
БАЛАНДА;КАША;0.7656
БАЛАНДА;ЛОЖКА;0.6484
БАЛАНДА;НАРЫ;0.4922
БАЛАНДА;МИСКА;0.4453
БАЛАНДА;КАРТОФЕЛЬ;0.2656
БАЛАНДА;ЗАКЛЮЧЁННЫЙ;0.2422
БАРБИ;КУКЛА;1.0
БАРБИ;ИГРУШКА;0.7794
БАРБИ;ДОМИК;0.5294
БАРБИ;БЛОНДИНКА;0.4118
БАРБИ;ПЛАТЬЯ;0.1838
БАЯН;ГАРМОНЬ;0.6173
БАЯН;КЛАВИШИ;0.5357
БАЯН;ПЕСНИ;0.4694
БАЯН;МУЗЫКАНТ;0.3673
БАЯН;НОТЫ;0.2653
БЕЛОСНЕЖКА;ГНОМЫ;0.9718
БЕЛОСНЕЖКА;ПРИНЦ;0.8873
БЕЛОСНЕЖКА;ЯБЛОКО;0.8732
БЕЛОСНЕЖКА;ПРИНЦЕССА;0.5775
БЕЛОСНЕЖКА;БЕЛАЯ;0.5634
БЕЛОСНЕЖКА;МАЧЕХА;0.4366
БЕЛОСНЕЖКА;МУЛЬТИК;0.2254
БЕЛОСНЕЖКА;КОЛДУНЬЯ;0.1831
БЕЛОСНЕЖКА;МУЛЬТФИЛЬМ;0.1831
БЕРКУТ;ХИЩНИК;0.7755
БЕРКУТ;КЛЮВ;0.7007
БЕРКУТ;ОРЁЛ;0.619
БЕРКУТ;СОКОЛ;0.4422
БЕРКУТ;КОГТИ;0.4014
БЕРКУТ;ПЕРЬЯ;0.3469
БОБИК;КЛИЧКА;0.6
БОБИК;ПЁС;0.5667
БОБИК;ПЁСИК;0.2333
БОБИК;ПЕРСОНАЖ;0.1667
БРАЗИЛИЯ;КАРНАВАЛ;0.7674
БРАЗИЛИЯ;ФЛАГ;0.6434
БРАЗИЛИЯ;ТАНЦЫ;0.6124
БРАЗИЛИЯ;АМЕРИКА;0.4574
БРАЗИЛИЯ;СЕРИАЛ;0.2248
БУДДА;ИНДИЯ;0.8222
БУДДА;СТАТУЯ;0.6444
БУДДА;БУДДИСТ;0.5278
БУДДА;КИТАЙ;0.4556
БУДДА;ЙОГА;0.2556
БУДДА;МОНАХ;0.2111
БУДДА;ИНДУС;0.1778
БУРАТИНО;ПОЛЕНО;0.9808
БУРАТИНО;МАЛЬВИНА;0.8077
БУРАТИНО;МУЛЬТФИЛЬМ;0.5192
БУРАТИНО;ЗОЛОТОЙ;0.4038
БУРАТИНО;ЛИСА;0.3846
БУРАТИНО;ПЬЕРО;0.3462
БУРАТИНО;АЗБУКА;0.2692
ВЕКША;БЕЛКА;1.0
ВЕКША;РУСЬ;0.7333
ВЕКША;ЕДИНИЦА;0.6889
ВЕКША;МОНЕТА;0.5111
ВЕКША;ДУПЛО;0.4222
ВЕКША;ОРЕХИ;0.4
ВЕКША;КУПЮРА;0.1667
ВЕНЕРА;БОГИНЯ;0.6022
ВЕНЕРА;МАРС;0.5746
ВЕНЕРА;ЮПИТЕР;0.5083
ВЕНЕРА;ЗВЕЗДА;0.4227
ВЕНЕРА;САТУРН;0.3149
ВИКТОРИНА;ВОПРОСЫ;0.9286
ВИКТОРИНА;КОНКУРС;0.9143
ВИКТОРИНА;ПРИЗ;0.9143
ВИКТОРИНА;ЗАДАНИЕ;0.5143
ВИКТОРИНА;ЗАГАДКА;0.4286
ВИКТОРИНА;ШОУ;0.4
ВИКТОРИНА;СОРЕВНОВАНИЕ;0.3714
ВИКТОРИНА;ВЫИГРЫШ;0.2
ВИКТОРИНА;ПОБЕДИТЕЛЬНИЦА;0.2
ВИКТОРИНА;УДАЧА;0.2
ВИКТОРИНА;УЧАСТИЕ;0.2
ВИКТОРИНА;ПРАВИЛА;0.1714
ВИННИ-ПУХ;МЕДВЕДЬ;1.0
ВИННИ-ПУХ;МЁД;0.9905
ВИННИ-ПУХ;ПЯТАЧОК;0.9333
ВИННИ-ПУХ;МУЛЬТИК;0.8476
ВИННИ-ПУХ;СОВА;0.6381
ВИННИ-ПУХ;КРОЛИК;0.619
ВИННИ-ПУХ;ПЧЁЛЫ;0.619
ВИННИ-ПУХ;МУЛЬТФИЛЬМ;0.4952
ВИННИ-ПУХ;ОСЛИК;0.4476
ВИННИ-ПУХ;ШАРИК;0.2476
ВИННИ-ПУХ;ОПИЛКИ;0.2286
ВИННИ-ПУХ;ОСЁЛ;0.1619
ВИННИ-ПУХ;ЗАЯЦ;0.1524
ГАИ;ШТРАФ;1.0
ГАИ;НАРУШЕНИЕ;0.6111
ГАИ;ЖЕЗЛ;0.5556
ГАИ;ПРАВА;0.4722
ГАИ;ВЗЯТКА;0.4167
ГАИ;АВАРИЯ;0.1944
ГАИ;ПАТРУЛЬ;0.1944
ГАИ;СВЕТОФОР;0.1944
ГАИ;ОСТАНОВКА;0.1944
ГАИ;ДОКУМЕНТЫ;0.1736
ГИБДД;ШТРАФ;1.0
ГИБДД;ГАИ;0.8438
ГИБДД;ЖЕЗЛ;0.6875
ГИБДД;ПРАВА;0.3281
ГИБДД;НАРУШЕНИЕ;0.2969
ГИБДД;ВЗЯТКА;0.2656
ГИБДД;ПОСТ;0.25
ГИБДД;ГАИШНИК;0.2188
ГИБДД;МЕНТЫ;0.1641
ГУВД;ДЕЛА;1.0
ГУВД;УПРАВЛЕНИЕ;0.7644
ГУВД;УЧРЕЖДЕНИЕ;0.199
ГУВД;МИЛИЦИОНЕР;0.1885
ГАГА;ЛЕДИ;1.0
ГАГА;ГУСЬ;0.9708
ГАГА;ПЕВИЦА;0.7445
ГАГА;УТКА;0.6423
ГАГА;ПЕРО;0.3942
ГАГА;ПУХ;0.365
ГАГА;ПЕСНИ;0.1971
ГАГА;СЕВЕР;0.1898
ГАЛКА;ВОРОНА;0.5405
ГАЛКА;КЛЮВ;0.4189
ГАЛКА;ГАЛИНА;0.3784
ГАЛКА;ЧЁРНАЯ;0.2973
ГАЛКА;СОРОКА;0.223
ГАЛКА;ПЕРЬЯ;0.2061
ГАЛКА;ОТМЕТКА;0.1757
ГЕРМАНИЯ;НЕМЦЫ;1.0
ГЕРМАНИЯ;ГИТЛЕР;0.9306
ГЕРМАНИЯ;БЕРЛИН;0.8009
ГЕРМАНИЯ;ФЛАГ;0.4295
ГЕРМАНИЯ;ФАШИЗМ;0.3893
ГЕРМАНИЯ;ФАШИСТЫ;0.3445
ГЕРМАНИЯ;СОСИСКИ;0.2394
ГЕРМАНИЯ;ГИМН;0.1521
ГОЛЛИВУД;АКТЁРЫ;0.9968
ГОЛЛИВУД;АМЕРИКА;0.7508
ГОЛЛИВУД;ДОРОЖКА;0.4337
ГОЛЛИВУД;АКТРИСА;0.3269
ГОЛЛИВУД;РЕЖИССЁР;0.1812
ГОЛЛИВУД;ФАБРИКА;0.1748
ГОЛЛИВУД;ЗНАМЕНИТОСТИ;0.1521
ДНК;ГЕН;1.0
ДНК;АНАЛИЗ;1.0
ДНК;БИОЛОГИЯ;0.9273
ДНК;ОТЦОВСТВО;0.7636
ДНК;КЛЕТКА;0.7636
ДНК;ТЕСТ;0.5636
ДНК;ГЕНЕТИКА;0.5091
ДНК;КИСЛОТА;0.4182
ДНК;МОЛЕКУЛА;0.2909
ДНК;СЛЮНА;0.2727
ДНК;РОДСТВО;0.2364
ДНК;ХРОМОСОМА;0.2
ДОБРЫНЯ;БОГАТЫРЬ;1.0
ДОБРЫНЯ;РУСЬ;0.5786
ДОБРЫНЯ;МУЛЬТИК;0.4643
ДОБРЫНЯ;ЗМЕЙ;0.2429
ДОБРЫНЯ;МЕЧ;0.1786
ДОБРЫНЯ;ГОРЫНЫЧ;0.1643
ДОБРЫНЯ;ПОПОВИЧ;0.1643
ЕГЭ;ЭКЗАМЕН;1.0
ЕГЭ;ТЕСТ;0.6985
ЕГЭ;ОЦЕНКА;0.4559
ЕГЭ;КОНТРОЛЬ;0.1765
ЕГЭ;БАЛЛ;0.1544
ЕВАНГЕЛИЕ;БИБЛИЯ;1.0
ЕВАНГЕЛИЕ;ИИСУС;0.5391
ЕВАНГЕЛИЕ;ХРИСТОС;0.313
ЕВАНГЕЛИЕ;АПОСТОЛ;0.2261
ЕВАНГЕЛИЕ;ПИСАНИЕ;0.1826
ЕВАНГЕЛИЕ;ЗАВЕТ;0.1652
ЕВРОПА;ГЕРМАНИЯ;0.9655
ЕВРОПА;СТРАНЫ;0.9397
ЕВРОПА;ФРАНЦИЯ;0.931
ЕВРОПА;СОЮЗ;0.8621
ЕВРОПА;ТЕРРИТОРИЯ;0.6379
ЕВРОПА;ИТАЛИЯ;0.6034
ЕВРОПА;ОБЪЕДИНЕНИЕ;0.4828
ЕВРОПА;КОНТИНЕНТ;0.4483
ЕВРОПА;МАТЕРИК;0.3966
ЕВРОПА;ГРАНИЦА;0.3103
ЕВРОПА;ЕВРОСОЮЗ;0.2931
ЕВРОПА;ВАЛЮТА;0.2414
ЕВРОПА;ГЕОГРАФИЯ;0.1897
ЕВРОПА;АНГЛИЯ;0.1897
ЕВРОПА;НАСЕЛЕНИЕ;0.1724
ЖЭК;УСЛУГИ;1.0
ЖЭК;ЖИЛЬЁ;0.9184
ЖЭК;САНТЕХНИК;0.8776
ЖЭК;СЛЕСАРЬ;0.6327
ЖЭК;КВИТАНЦИЯ;0.5714
ЖЭК;КОМПАНИЯ;0.5102
ЖЭК;ДВОРНИК;0.4694
ЖЭК;КОММУНАЛКА;0.3673
ЖЭК;ОПЛАТА;0.2041
ЖЭК;КОНТОРА;0.1837
ЖЭК;ЖИЛИЩЕ;0.1633
ЖЭК;ОТОПЛЕНИЕ;0.1633
ЖИГУЛИ;КОЛЁСА;0.6769
ЖИГУЛИ;МАРКА;0.5
ЖИГУЛИ;ШЕСТЁРКА;0.4154
ЖИГУЛИ;СТАРАЯ;0.3231
ЖИГУЛИ;РУЛЬ;0.3
ЖИГУЛИ;ВАЗ;0.2462
ЖИГУЛИ;РАЗВАЛЮХА;0.2077
ЖИГУЛИ;КОПЕЙКА;0.1846
ЖИГУЛИ;КАПОТ;0.1846
ЖИГУЛИ;СЕМЁРКА;0.1615
ЗАГС;КОЛЬЦА;0.8704
ЗАГС;ЖЕНИХ;0.8519
ЗАГС;НЕВЕСТА;0.7963
ЗАГС;ГОСТИ;0.5556
ЗАЙКА;ЗАЯЦ;1.0
ЗАЙКА;БЕЛЫЙ;0.75
ЗАЙКА;КРОЛИК;0.7308
ЗАЙКА;ВОЛК;0.6731
ЗАЙКА;УШИ;0.6538
ЗАЙКА;ЛЮБИМЫЙ;0.3077
ЗАЙКА;ЛАСКА;0.2885
ЗАЙКА;МОРКОВЬ;0.1538
ЗОЛУШКА;МАЧЕХА;1.0
ЗОЛУШКА;БАЛ;0.963
ЗОЛУШКА;ПРИНЦ;0.9259
ЗОЛУШКА;ФЕЯ;0.9259
ЗОЛУШКА;КАРЕТА;0.7407
ЗОЛУШКА;ТЫКВА;0.7407
ЗОЛУШКА;ПРИНЦЕССА;0.2963
ЗОЛУШКА;СЁСТРЫ;0.2778
ЗОЛУШКА;КРЫСЫ;0.2593
ЗОЛУШКА;ПОЛНОЧЬ;0.2222
ИНДИЯ;СЛОН;0.7788
ИНДИЯ;ИНДУС;0.725
ИНДИЯ;ТАНЦЫ;0.7182
ИНДИЯ;САРИ;0.6607
ИНДИЯ;ИНДЕЙЦЫ;0.4185
ИНДИЯ;ПЕСНИ;0.1839
ИНТЕРНАЦИОНАЛ;ГИМН;1.0
ИНТЕРНАЦИОНАЛ;НАЦИЯ;0.875
ИНТЕРНАЦИОНАЛ;НАЦИОНАЛЬНОСТЬ;0.5357
ИНТЕРНАЦИОНАЛ;РЕВОЛЮЦИЯ;0.2857
ИНТЕРНАЦИОНАЛ;ПЕТЬ;0.2411
ИНТЕРНЕТ;ОБЩЕНИЕ;0.638
ИНТЕРНЕТ;СВЯЗЬ;0.5663
ИНТЕРНЕТ;ИГРЫ;0.4839
ИНТЕРНЕТ;ПАУТИНА;0.4301
ИНТЕРНЕТ;БРАУЗЕР;0.3297
ИНТЕРНЕТ;МОДЕМ;0.1792
ИНТЕРНЕТ;ВИДЕО;0.1649
ИРАН;ВОСТОК;0.6351
ИРАН;МУСУЛЬМАНЕ;0.6216
ИРАН;НЕФТЬ;0.5405
ИРАН;ПУСТЫНЯ;0.5405
ИРАН;ТЕГЕРАН;0.4054
ИРАН;ИСЛАМ;0.1757
ИРАН;ПЕРСИЯ;0.1757
ИРИСКА;КОНФЕТА;1.0
ИРИСКА;КАРАМЕЛЬ;0.6173
ИРИСКА;ТЯНУЧКА;0.5556
ИРИСКА;ФАНТИК;0.5556
ИСПАНИЯ;МАДРИД;0.4786
ИСПАНИЯ;БЫКИ;0.2949
ИСПАНИЯ;КУРОРТ;0.2222
ИСПАНИЯ;ЕВРОПА;0.1795
ИУДА;ПРЕДАТЕЛЬ;1.0
ИУДА;БИБЛИЯ;0.7042
ИУДА;ИИСУС;0.6761
ИУДА;АПОСТОЛ;0.5634
ИУДА;ЕВРЕЙ;0.1831
КГБ;БЕЗОПАСНОСТЬ;1.0
КГБ;КОМИТЕТ;0.8221
КГБ;РАЗВЕДКА;0.3715
КГБ;ШПИОН;0.1897
КПСС;СОЮЗ;0.7407
КПСС;КОММУНИСТ;0.6065
КПСС;ЛЕНИН;0.6019
КПСС;КОММУНИЗМ;0.3981
КАЗАНЬ;ТАТАРЫ;0.6815
КАЗАНЬ;ТАТАРСТАН;0.6296
КАЗАНЬ;СТОЛИЦА;0.6222
КАЗАНЬ;РОДИНА;0.3704
КАМАЗ;ГРУЗ;0.7553
КАМАЗ;ГРУЗОВИК;0.6596
КАМАЗ;КУЗОВ;0.5532
КАМАЗ;КОЛЁСА;0.3989
КАМАЗ;РУЛЬ;0.3777
КАМАЗ;КАБИНА;0.2713
КАМАЗ;ПЕРЕВОЗКА;0.1622
КАМАЗ;ШОФЁР;0.1543
КАНАДА;ХОККЕЙ;0.7305
КАНАДА;АМЕРИКА;0.7186
КАНАДА;КЛЁН;0.6707
КАНАДА;ФЛАГ;0.5269
КАНЗАС;ШТАТ;1.0
КАНЗАС;АМЕРИКА;0.9524
КАНЗАС;КОВБОЙ;0.602
КАНЗАС;ФЕРМА;0.2993
КАНЗАС;РЕГИОН;0.2585
КАНЗАС;ФЛАГ;0.1769
КАНЗАС;ТЕХАС;0.1701
КАТЮША;КАТЯ;0.8402
КАТЮША;ТАНК;0.5917
КАТЮША;ПУШКА;0.4911
КАТЮША;ЕКАТЕРИНА;0.3846
КАТЮША;БЕРЕГ;0.3846
КАТЮША;ГРУШИ;0.1805
КИЕВ;УКРАИНА;1.0
КИЕВ;СТОЛИЦА;0.8641
КИЕВ;РУСЬ;0.587
КИЕВ;САЛО;0.4348
КИЕВ;РАДА;0.3098
КИЕВ;МАЙДАН;0.2663
КИЕВ;ДНЕПР;0.2283
КИЛЬКА;ТОМАТ;0.6885
КИЛЬКА;БАНКА;0.6393
КИЛЬКА;КОНСЕРВЫ;0.459
КИЛЬКА;МАЛЕНЬКАЯ;0.2787
КИЛЬКА;ЗАКУСКА;0.2131
КИЛЬКА;СОУС;0.1803
КИЛЬКА;ТЮЛЬКА;0.1639
КИТАЙ;ПЕКИН;0.4381
КИТАЙ;НАСЕЛЕНИЕ;0.4286
КИТАЙ;ЯПОНИЯ;0.3429
КИТАЙ;ЛАПША;0.2857
КЛЕОПАТРА;ЕГИПЕТ;1.0
КЛЕОПАТРА;ЦАРИЦА;0.8165
КЛЕОПАТРА;ПИРАМИДЫ;0.7706
КЛЕОПАТРА;ФАРАОН;0.5642
КЛЕОПАТРА;ЦЕЗАРЬ;0.3578
КЛЕОПАТРА;СФИНКС;0.3486
КЛЕОПАТРА;МУМИЯ;0.2385
КОЛОБОК;ЛИСА;1.0
КОЛОБОК;БАБКА;0.6667
КОЛОБОК;ДЕД;0.6061
КОЛОБОК;ВОЛК;0.5758
КОЛОБОК;ЗАЯЦ;0.5455
КОЛОБОК;СУСЕКИ;0.4545
КОЛОБОК;ПЕЧКА;0.2727
КОЛОБОК;МЕДВЕДЬ;0.2727
КОЛОБОК;ШАР;0.2424
КОЛОБОК;ПЕРСОНАЖ;0.2121
КОЛЫМА;СЕВЕР;0.9016
КОЛЫМА;ССЫЛКА;0.8197
КОЛЫМА;СРОК;0.6557
КОЛЫМА;КАТОРГА;0.2787
КОЛЫМА;ЗОНА;0.2295
КОЛЫМА;ЗАКЛЮЧЁННЫЙ;0.1803
КОМИНТЕРН;ОРГАНИЗАЦИЯ;1.0
КОМИНТЕРН;КОММУНИЗМ;0.7875
КОМИНТЕРН;РЕВОЛЮЦИЯ;0.7625
КОМИНТЕРН;ИНТЕРНАЦИОНАЛ;0.6875
КОМИНТЕРН;ЛЕНИН;0.525
КОМИНТЕРН;КОМИТЕТ;0.45
КОРЕЯ;МОРКОВКА;0.6374
КОРЕЯ;КИТАЙ;0.4327
КОРЕЯ;ЯПОНИЯ;0.3918
КОРЕЯ;АЗИЯ;0.3041
КОРЕЯ;РИС;0.2632
КОРЕЯ;СУШИ;0.2515
КОЩЕЙ;ИГЛА;0.9141
КОЩЕЙ;ЯЙЦО;0.9063
КОЩЕЙ;КОСТИ;0.7578
КОЩЕЙ;УТКА;0.7188
КОЩЕЙ;ЯГА;0.625
КОЩЕЙ;БАБА;0.5234
КОЩЕЙ;СКЕЛЕТ;0.3281
КОЩЕЙ;ЗАЯЦ;0.2422
КОЩЕЙ;СУНДУК;0.2109
КТУЛХУ;БОЖЕСТВО;0.9429
КТУЛХУ;МИФ;0.9286
КТУЛХУ;ОСЬМИНОГ;0.8857
КТУЛХУ;ЧУДОВИЩЕ;0.7429
КТУЛХУ;ЗОВ;0.7
КТУЛХУ;ГАД;0.5571
КТУЛХУ;МОНСТР;0.4
КТУЛХУ;ЩУПАЛЬЦА;0.3714
КТУЛХУ;ГЛАЗ;0.1857
КТУЛХУ;ШКОЛЬНИКИ;0.1714
КУБАНЬ;КРАЙ;0.6604
КУБАНЬ;КАЗАКИ;0.6132
КУБАНЬ;РЕГИОН;0.4906
КУБАНЬ;ПОЛЯ;0.3019
КУБАНЬ;КРАСНОДАР;0.1698
КУБАНЬ;КАВКАЗ;0.1509
КУБАНЬ;МЕСТНОСТЬ;0.1509
КУПИДОН;СТРЕЛА;1.0
КУПИДОН;АМУР;0.6591
КУПИДОН;АНГЕЛ;0.6439
КУПИДОН;ЛУК;0.5833
КУПИДОН;ВАЛЕНТИН;0.1894
ЛАС-ВЕГАС;КАЗИНО;0.9308
ЛАС-ВЕГАС;АМЕРИКА;0.7692
ЛАС-ВЕГАС;ОГНИ;0.6077
ЛАС-ВЕГАС;МАЛЬЧИШНИК;0.5385
ЛАС-ВЕГАС;РАЗВЛЕЧЕНИЯ;0.1923
ЛАС-ВЕГАС;ПОКЕР;0.1769
ЛОНДОН;АНГЛИЯ;1.0
ЛОНДОН;СТОЛИЦА;0.8906
ЛОНДОН;ВЕЛИКОБРИТАНИЯ;0.7734
ЛОНДОН;ПАРИЖ;0.7656
ЛОНДОН;КОРОЛЕВА;0.6797
ЛОНДОН;БАШНЯ;0.4922
ЛОНДОН;ЧАСЫ;0.3203
ЛОНДОН;МОСТ;0.2734
ЛОНДОН;БИГ;0.2578
ЛОНДОН;ТУМАН;0.25
ЛОНДОН;БРИТАНИЯ;0.2031
ЛОНДОН;БЕН;0.1875
ЛЮТИК;БУКЕТ;0.5588
ЛЮТИК;РОМАШКА;0.4559
ЛЮТИК;КЛУМБА;0.25
ЛЮТИК;ПОЛЯНА;0.1912
ЛЮТИК;ТЫЧИНКА;0.1618
ЛЯЛЯ;КУКЛА;0.7143
ЛЯЛЯ;ДИТЯ;0.3008
ЛЯЛЯ;МЛАДЕНЕЦ;0.2406
ЛЯЛЯ;КОЛЯСКА;0.1729
ЛЯЛЯ;НОТА;0.1654
ЛЯЛЯ;ИГРУШКА;0.1579
МТС;СВЯЗЬ;0.9712
МТС;ОПЕРАТОР;0.7308
МТС;ЯЙЦО;0.6442
МТС;СИМКА;0.6394
МТС;ТАРИФ;0.6298
МТС;ЗВОНОК;0.5048
МТС;МЕГАФОН;0.1923
МТС;АБОНЕНТ;0.1779
МАГАДАН;СЕВЕР;0.6555
МАГАДАН;ССЫЛКА;0.5294
МАГАДАН;ВОСТОК;0.521
МАГАДАН;ОБЛАСТЬ;0.1681
МАГАДАН;ЕДУ;0.1513
МАГАДАН;ПОРТ;0.1513
МАДОННА;ПЕВИЦА;1.0
МАДОННА;ЗВЕЗДА;0.3571
МАДОННА;АКТРИСА;0.3143
МАДОННА;ИКОНА;0.3143
МЕКСИКА;АМЕРИКА;0.7538
МЕКСИКА;МЕХИКО;0.6308
МЕКСИКА;КАКТУС;0.5923
МЕКСИКА;ПЕРЕЦ;0.5846
МЕКСИКА;ШЛЯПА;0.4615
МЕКСИКА;ПУСТЫНЯ;0.3692
МЕКСИКА;ЧИЛИ;0.2923
МЕКСИКА;ПОНЧО;0.2615
МЕРСЕДЕС;МАРКА;0.6579
МЕРСЕДЕС;АВТО;0.6491
МЕРСЕДЕС;ГЕРМАНИЯ;0.6316
МЕРСЕДЕС;ТАЧКА;0.4825
МЕРСЕДЕС;РУЛЬ;0.3158
МЕРСЕДЕС;ЕЗДА;0.2193
НТВ;КАНАЛ;1.0
НТВ;НОВОСТИ;0.8424
НТВ;ТЕЛЕВИДЕНИЕ;0.7273
НТВ;ПРОГРАММА;0.7121
НТВ;ПЕРЕДАЧА;0.6424
НТВ;ТЕЛЕКАНАЛ;0.4727
НТВ;СЕРИАЛЫ;0.397
НТВ;ПУЛЬТ;0.2727
НОНА;АКТРИСА;0.6202
НОНА;ПУШКА;0.5659
НОНА;НОТА;0.4496
НОНА;ИНТЕРВАЛ;0.2558
НОНА;ОРУДИЕ;0.2016
НЬЮ-ЙОРК;АМЕРИКА;1.0
НЬЮ-ЙОРК;НЕБОСКРЁБ;0.5471
НЬЮ-ЙОРК;СТАТУЯ;0.4353
НЬЮ-ЙОРК;ШТАТ;0.4353
НЬЮ-ЙОРК;СВОБОДЫ;0.4176
НЬЮ-ЙОРК;МЕГАПОЛИС;0.3765
